#{"t_start": 1779171662.9293005, "env_id": "None"}
r,l,t
-6.80636,500,1.254317
-9.311752,500,1.512836
19.965267,500,2.362631
20.580518,500,2.612797
23.363824,500,3.441608
23.0822,500,3.712139
46.083982,500,4.523122
-29.334401,495,4.830709
-2.931979,467,5.761899
75.879941,500,6.064026
218.436567,422,6.95694
75.196434,500,7.268576
220.907325,311,8.08424
220.047939,337,8.292203
218.812684,324,8.490232
220.870539,318,9.338707
221.74244,338,9.541293
221.426334,304,9.724136
222.350656,330,9.927271
221.667968,237,10.691675
222.403463,231,10.838696
220.813208,245,10.986295
220.719558,227,11.129276
223.433705,208,11.89961
222.700505,213,12.025224
222.434343,210,12.158323
222.967561,218,12.29384
220.767376,201,12.422438
222.413205,183,13.207515
221.934317,188,13.338535
221.841917,214,13.468197
224.095739,210,13.599971
222.101009,182,13.713482
222.077114,193,14.518233
222.598016,190,14.639354
222.311304,179,14.752522
221.180858,201,14.879034
222.26832,172,14.988549
221.315974,187,15.106647
221.172037,164,15.91445
221.449243,144,16.009533
222.572582,178,16.124599
221.422473,175,16.236797
221.430871,157,16.336553
221.682547,178,16.449977
224.238248,161,17.201302
222.44662,153,17.299128
222.166216,155,17.395472
221.534125,148,17.489489
222.815022,146,17.581666
221.799589,170,17.689107
224.054147,170,17.795865
223.594719,152,18.537212
221.276849,134,18.622406
223.47331,165,18.726274
222.110099,138,18.812368
222.44832,129,18.892969
221.925572,145,18.984874
222.539232,148,19.078615
223.720559,150,19.829374
222.871943,140,19.918805
222.350903,139,20.00615
222.398108,134,20.088397
222.003656,133,20.170635
222.802974,139,20.258539
223.381263,148,20.352323
222.716772,130,21.085558
221.862388,130,21.164724
221.555055,128,21.244627
222.122367,126,21.323446
222.030231,139,21.411996
221.831428,135,21.498567
222.654424,125,21.576547
223.397284,126,21.65774
221.858143,128,22.383742
223.15386,123,22.461182
222.181659,120,22.537349
222.978467,129,22.618408
223.219944,123,22.697392
222.322933,121,22.774035
221.470484,119,22.850167
222.216667,124,22.926872
222.220323,122,23.656621
220.816705,120,23.733719
221.54653,120,23.810058
222.982541,124,23.888354
221.287999,129,23.970392
223.385458,125,24.049171
221.877114,117,24.123422
222.604959,116,24.194785
223.172418,121,24.269517
221.1919,115,24.992665
221.429766,115,25.064722
221.908528,117,25.13968
220.215454,113,25.211037
222.012822,119,25.286095
222.264696,115,25.35947
220.851879,112,25.430853
222.987608,117,25.504397
222.501269,117,26.235883
222.846419,117,26.308882
223.093394,115,26.382394
221.537459,113,26.453911
221.1064,113,26.524424
221.106022,112,26.595418
222.165658,114,26.66702
221.650722,117,26.740439
221.677546,113,26.812443
222.72408,118,27.535269
221.786607,117,27.60827
222.226704,116,27.682783
222.316725,114,27.770293
221.357908,114,27.842474
221.046071,108,27.910477
221.983914,113,27.981984
223.02368,111,28.050498
221.727419,117,28.1235
222.503915,116,28.848791
221.886586,113,28.920795
222.090674,112,28.992302
221.990306,108,29.059815
222.341213,111,29.130325
222.532902,111,29.19993
222.754389,112,29.273023
221.799175,112,29.343533
222.146272,106,29.411535
222.222661,111,29.48104
222.724659,111,30.205782
221.619249,107,30.27229
222.435483,113,30.344801
222.538846,113,30.415801
221.815937,111,30.485309
222.135887,109,30.555037
221.774136,110,30.62404
222.553979,112,30.695548
221.820853,110,30.765148
222.357598,112,31.485149
222.428883,107,31.553661
222.69171,111,31.62474
222.112133,109,31.692969
221.537057,106,31.760578
222.611228,109,31.829184
221.791103,109,31.896185
221.315373,109,31.965537
222.742428,116,32.038782
221.840496,111,32.755357
222.703561,109,32.823451
223.036766,109,32.893006
221.44917,109,32.962516
221.795217,108,33.03103
221.371438,106,33.09703
221.900962,109,33.166541
222.305942,113,33.238726
222.12279,107,33.304609
221.974542,108,33.372119
221.596227,106,34.086439
222.801798,111,34.157044
222.516506,110,34.227644
222.350172,109,34.29723
222.706193,108,34.364744
221.501558,105,34.43025
222.686171,108,34.498255
221.868984,107,34.566038
222.151623,107,34.633546
222.855769,109,35.351207
222.131814,107,35.41821
222.868931,110,35.488811
222.031467,107,35.556418
221.571801,106,35.625896
222.420131,107,35.694587
221.256383,106,35.76175
221.494168,106,35.827844
221.129725,109,35.89635
221.595882,106,35.963868
221.841828,106,36.682565
221.854441,106,36.750077
221.776157,106,36.818077
222.661815,108,36.884583
221.68015,105,36.950098
222.52185,108,37.017671
221.838367,108,37.085683
221.760251,106,37.153189
222.380116,109,37.223261
221.435183,104,37.935628
221.792308,107,38.002628
222.441413,108,38.07214
221.352508,107,38.137649
221.556688,107,38.205649
222.574226,106,38.270157
221.322186,105,38.335668
221.864566,107,38.403671
222.121348,105,38.469194
